frame,joint,x,y,bbox
235,htop_mpi_inf_3dhp,217.58,307.87,"(132.3,308.2)-(270.3,489.9)"
235,learcoco,219.95,302.46,"(132.3,308.2)-(270.3,489.9)"
235,leyecoco,226.77,299.2,"(132.3,308.2)-(270.3,489.9)"
235,nosecoco,217.0,306.61,"(132.3,308.2)-(270.3,489.9)"
235,rearcoco,221.52,302.95,"(132.3,308.2)-(270.3,489.9)"
235,reyecoco,221.53,297.05,"(132.3,308.2)-(270.3,489.9)"
243,reyecoco,139.64,335.33,"(146.5,313.4)-(349.8,485.4)"
245,reyecoco,227.11,314.09,"(167.0,316.4)-(269.9,486.7)"
253,ltoe_smpl,77.94,340.04,"(81.5,311.8)-(284.5,489.7)"
253,reyecoco,287.68,334.99,"(81.5,311.8)-(284.5,489.7)"
254,ltoe_smpl,111.35,335.54,"(114.1,311.0)-(267.4,488.1)"
255,ltoe_smpl,156.82,340.55,"(162.2,316.6)-(264.0,485.4)"
255,htop_mpi_inf_3dhp,204.23,313.36,"(162.2,316.6)-(264.0,485.4)"
255,learcoco,206.85,310.57,"(162.2,316.6)-(264.0,485.4)"
255,leyecoco,216.77,308.66,"(162.2,316.6)-(264.0,485.4)"
255,nosecoco,201.55,311.65,"(162.2,316.6)-(264.0,485.4)"
255,rearcoco,203.15,310.15,"(162.2,316.6)-(264.0,485.4)"
255,reyecoco,207.91,306.02,"(162.2,316.6)-(264.0,485.4)"
263,reyecoco,137.92,340.83,"(138.2,314.1)-(354.4,479.8)"
265,reyecoco,239.99,316.08,"(168.9,317.7)-(281.8,479.6)"
273,ltoe_smpl,72.44,331.9,"(82.2,308.5)-(313.0,482.6)"
274,reyecoco,294.61,333.57,"(86.4,305.9)-(292.2,483.4)"
284,reyecoco,130.68,340.2,"(131.8,308.2)-(367.6,481.2)"
285,learcoco,149.77,348.33,"(152.3,311.3)-(342.8,476.8)"
285,nosecoco,150.43,351.17,"(152.3,311.3)-(342.8,476.8)"
285,reyecoco,139.27,343.6,"(152.3,311.3)-(342.8,476.8)"
287,leyecoco,244.41,312.26,"(173.7,313.6)-(257.8,479.8)"
287,rearcoco,243.62,312.6,"(173.7,313.6)-(257.8,479.8)"
287,reyecoco,247.85,309.64,"(173.7,313.6)-(257.8,479.8)"
296,ltoe_smpl,86.33,334.85,"(90.4,295.1)-(286.0,482.3)"
296,reyecoco,286.74,317.11,"(90.4,295.1)-(286.0,482.3)"
297,ltoe_smpl,111.66,333.24,"(115.0,292.6)-(261.7,480.4)"
299,htop_mpi_inf_3dhp,186.68,319.82,"(190.9,284.7)-(252.1,480.9)"
299,learcoco,186.82,316.51,"(190.9,284.7)-(252.1,480.9)"
299,nosecoco,185.7,318.79,"(190.9,284.7)-(252.1,480.9)"
299,rearcoco,189.25,315.61,"(190.9,284.7)-(252.1,480.9)"
299,reyecoco,184.3,305.23,"(190.9,284.7)-(252.1,480.9)"
313,ltoe_smpl,88.08,316.14,"(89.3,307.6)-(284.1,480.7)"
316,lank_smpl,82.7,321.05,"(83.6,311.5)-(309.9,478.1)"
316,ltoe_smpl,66.36,325.14,"(83.6,311.5)-(309.9,478.1)"
317,lank_smpl,96.73,332.43,"(101.5,311.8)-(321.2,477.3)"
317,ltoe_smpl,82.87,337.81,"(101.5,311.8)-(321.2,477.3)"
318,lank_smpl,120.58,366.52,"(123.6,315.5)-(309.4,474.5)"
318,ltoe_smpl,109.11,375.93,"(123.6,315.5)-(309.4,474.5)"
323,learcoco,147.24,357.19,"(151.3,316.3)-(290.5,477.0)"
323,leyecoco,147.32,347.87,"(151.3,316.3)-(290.5,477.0)"
323,reyecoco,137.97,345.96,"(151.3,316.3)-(290.5,477.0)"
324,reyecoco,146.42,333.11,"(152.0,316.4)-(299.5,477.0)"
327,rhan_smpl,77.02,373.21,"(82.3,313.6)-(302.3,475.0)"
328,rwri_smpl,103.4,382.42,"(110.6,312.8)-(299.3,477.3)"
328,rhan_smpl,92.95,386.37,"(110.6,312.8)-(299.3,477.3)"
329,rwri_smpl,133.44,386.91,"(134.1,311.3)-(301.7,478.8)"
329,rhan_smpl,126.19,393.73,"(134.1,311.3)-(301.7,478.8)"
338,rtoe_smpl,211.08,460.56,"(145.0,314.9)-(251.8,459.6)"
338,reyecoco,193.11,310.09,"(145.0,314.9)-(251.8,459.6)"
339,reyecoco,165.73,312.09,"(123.3,313.6)-(263.5,465.1)"
340,reyecoco,150.39,315.04,"(119.7,317.3)-(270.4,469.4)"
341,rhan_smpl,121.69,375.72,"(125.1,320.3)-(269.5,466.9)"
355,ltoe_smpl,191.68,456.62,"(122.1,344.0)-(264.9,455.2)"
357,bell_smpl,213.71,321.79,"(157.0,343.1)-(247.8,464.9)"
357,spin_smpl,204.87,298.22,"(157.0,343.1)-(247.8,464.9)"
357,lank_smpl,212.75,491.48,"(157.0,343.1)-(247.8,464.9)"
357,rank_smpl,202.18,505.89,"(157.0,343.1)-(247.8,464.9)"
357,thor_smpl,201.29,287.97,"(157.0,343.1)-(247.8,464.9)"
357,ltoe_smpl,195.41,600.49,"(157.0,343.1)-(247.8,464.9)"
357,rtoe_smpl,191.05,569.66,"(157.0,343.1)-(247.8,464.9)"
357,neck_smpl,194.98,241.87,"(157.0,343.1)-(247.8,464.9)"
357,lcla_smpl,207.19,252.48,"(157.0,343.1)-(247.8,464.9)"
357,rcla_smpl,193.84,264.93,"(157.0,343.1)-(247.8,464.9)"
357,head_smpl,190.31,227.15,"(157.0,343.1)-(247.8,464.9)"
357,lsho_smpl,206.39,249.43,"(157.0,343.1)-(247.8,464.9)"
357,rsho_smpl,186.25,269.9,"(157.0,343.1)-(247.8,464.9)"
357,lelb_smpl,216.68,307.29,"(157.0,343.1)-(247.8,464.9)"
357,relb_smpl,187.33,329.25,"(157.0,343.1)-(247.8,464.9)"
357,htop_mpi_inf_3dhp,187.3,338.49,"(157.0,343.1)-(247.8,464.9)"
357,learcoco,190.75,331.56,"(157.0,343.1)-(247.8,464.9)"
357,leyecoco,202.2,324.56,"(157.0,343.1)-(247.8,464.9)"
357,nosecoco,188.72,333.83,"(157.0,343.1)-(247.8,464.9)"
357,rearcoco,192.77,327.83,"(157.0,343.1)-(247.8,464.9)"
357,reyecoco,196.96,312.06,"(157.0,343.1)-(247.8,464.9)"
367,lank_smpl,220.63,468.03,"(123.8,341.3)-(267.3,458.8)"
367,rank_smpl,221.98,481.12,"(123.8,341.3)-(267.3,458.8)"
367,ltoe_smpl,214.48,573.65,"(123.8,341.3)-(267.3,458.8)"
367,rtoe_smpl,211.92,508.88,"(123.8,341.3)-(267.3,458.8)"
382,ltoe_smpl,208.4,466.06,"(121.2,336.5)-(275.3,453.3)"
382,rtoe_smpl,207.06,455.88,"(121.2,336.5)-(275.3,453.3)"
385,lank_smpl,222.81,463.42,"(148.3,330.7)-(257.6,444.2)"
385,rank_smpl,221.51,464.65,"(148.3,330.7)-(257.6,444.2)"
385,ltoe_smpl,200.95,533.56,"(148.3,330.7)-(257.6,444.2)"
385,rtoe_smpl,206.09,485.16,"(148.3,330.7)-(257.6,444.2)"
386,ltoe_smpl,221.62,448.52,"(160.5,335.0)-(264.4,442.0)"
386,rtoe_smpl,211.7,472.48,"(160.5,335.0)-(264.4,442.0)"
392,rtoe_smpl,221.18,448.06,"(164.4,325.4)-(285.8,446.7)"
393,lank_smpl,209.88,465.89,"(175.2,318.8)-(267.5,449.5)"
393,rank_smpl,208.0,476.03,"(175.2,318.8)-(267.5,449.5)"
